system,tag,type,status
73,73-EC50,EC,SCD_ONLY
73,73-MA50,MA,SCD_ONLY
74,74-EC50,EC,SCD_ONLY
74,74-FE94,FE,SCD_ONLY
75,75-SK50,SK,PID_ONLY
75,75-SK51,SK,PID_ONLY
76,76-CT50,CT,SCD_ONLY
76,76-ET054,ET,SCD_ONLY
76,76-ET53,ET,SCD_ONLY
76,76-MB50,MB,SCD_ONLY
77,77-GA53,GA,PID_ONLY
77,77-EC50,EC,SCD_ONLY
77,77-FE101,FE,SCD_ONLY
77,77-FE103,FE,SCD_ONLY
77,77-FE110,FE,SCD_ONLY
77,77-GE103,GE,SCD_ONLY
77,77-GE153,GE,SCD_ONLY
77,77-GE158,GE,SCD_ONLY
77,77-GJ50,GJ,SCD_ONLY
77,77-GJ56,GJ,SCD_ONLY
77,77-GJ57,GJ,SCD_ONLY
77,77-GK102A,GK,SCD_ONLY
77,77-GK102B,GK,SCD_ONLY
77,77-GK110A,GK,SCD_ONLY
77,77-GK110B,GK,SCD_ONLY
77,77-GK50A,GK,SCD_ONLY
77,77-GK50B,GK,SCD_ONLY
77,77-GK52B,GK,SCD_ONLY
77,77-GK71A,GK,SCD_ONLY
77,77-GK71B,GK,SCD_ONLY
77,77-GK81A,GK,SCD_ONLY
77,77-GK81B,GK,SCD_ONLY
77,77-GK82A,GK,SCD_ONLY
77,77-GK82B,GK,SCD_ONLY
77,77-GS085,GS,SCD_ONLY
77,77-GS086,GS,SCD_ONLY
77,77-GS087,GS,SCD_ONLY
77,77-GS71,GS,SCD_ONLY
77,77-GS72,GS,SCD_ONLY
77,77-GS73,GS,SCD_ONLY
77,77-GS74,GS,SCD_ONLY
77,77-GS81,GS,SCD_ONLY
77,77-GS82,GS,SCD_ONLY
77,77-GS83,GS,SCD_ONLY
77,77-GS84,GS,SCD_ONLY
77,77-GX110,GX,SCD_ONLY
77,77-HS9000H,HS,SCD_ONLY
77,77-HS9100L,HS,SCD_ONLY
77,77-HS9200L,HS,SCD_ONLY
77,77-TV2004,TV,SCD_ONLY
77,77-XA9101,XA,SCD_ONLY
77,77-XA9102,XA,SCD_ONLY
77,77-XA9103,XA,SCD_ONLY
77,77-XA9104,XA,SCD_ONLY
77,77-XA9201,XA,SCD_ONLY
77,77-XA9202,XA,SCD_ONLY
77,77-XA9203,XA,SCD_ONLY
77,77-XA9204,XA,SCD_ONLY
77,77-XA9205,XA,SCD_ONLY
77,77-XA9206,XA,SCD_ONLY
77,77-XA9207,XA,SCD_ONLY
77,77-XY2003,XY,SCD_ONLY
77,77-XY2018,XY,SCD_ONLY
77,77-XY2019,XY,SCD_ONLY
77,77-XY2031,XY,SCD_ONLY
77,77-XY2032,XY,SCD_ONLY
77,77-XY2050,XY,SCD_ONLY
77,77-XY2075,XY,SCD_ONLY
77,77-XY2076,XY,SCD_ONLY
77,77-XY2077,XY,SCD_ONLY
77,77-XY2078,XY,SCD_ONLY
77,77-XY2079,XY,SCD_ONLY
77,77-XY2081,XY,SCD_ONLY
77,77-XY2082,XY,SCD_ONLY
77,77-XY2088,XY,SCD_ONLY
77,77-ZSL2013,ZSL,SCD_ONLY
77,77-ZSL2014,ZSL,SCD_ONLY
77,77-ZSL2016,ZSL,SCD_ONLY
77,77-ZSL2017,ZSL,SCD_ONLY
77,77-ZSL4087,ZSL,SCD_ONLY
77,77-ZSL4089,ZSL,SCD_ONLY
79,79-EY2032A,EY,SCD_ONLY
79,79-EY2037A,EY,SCD_ONLY
79,79-EY2037B,EY,SCD_ONLY
79,79-EY2038B,EY,SCD_ONLY
79,79-EY2109,EY,SCD_ONLY
79,79-EY2110,EY,SCD_ONLY
79,79-EY463,EY,SCD_ONLY
79,79-HL2015H,HL,SCD_ONLY
79,79-HL2015V,HL,SCD_ONLY
79,79-JB50,JB,SCD_ONLY
79,79-JG54,JG,SCD_ONLY
79,79-UZS4513,UZS,SCD_ONLY
81,81-EG50,EG,PID_ONLY
81,81-EC50,EC,SCD_ONLY
81,81-EM50,EM,SCD_ONLY
81,81-FE50,FE,SCD_ONLY
81,81-FE51,FE,SCD_ONLY
82,82-GG51A,GG,PID_ONLY
82,82-GG51B,GG,PID_ONLY
82,82-HS2612,HS,PID_ONLY
82,82-HS2812,HS,PID_ONLY
82,82-LI2615,LI,PID_ONLY
82,82-LI2616,LI,PID_ONLY
82,82-LT2615,LT,PID_ONLY
82,82-LT2616,LT,PID_ONLY
82,82-PDI2569,PDI,PID_ONLY
82,82-PI2552,PI,PID_ONLY
82,82-PI2672,PI,PID_ONLY
