tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
21-LSL2152,21,LSL,other,SCD_ONLY,0,1,,C025-W-HO21-J-_E-001-01.PDF
21-VW50,21,VW,other,SCD_ONLY,0,1,,C025-W-HO21-J-_E-001-01.PDF
21-ZS20,21,ZS,position_switch,SCD_ONLY,0,1,,C025-W-HO21-J-_E-001-01.PDF
24-2007PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2008PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2052PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2056PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2059PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2060PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-2061PL,24,PL,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-AE2060,24,AE,other,PID_ONLY,2,0,C025-V-HA24-P-_E-001-01.PDF;C025-V-HB20-P-_E-001-01.PDF,
24-FIC2100,24,FIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-FT2100,24,FT,transmitter,BOTH,1,1,C025-V-HA24-P-_E-001-01.PDF,C025-W-HO24-J-_E-001-01.PDF
24-FV2100,24,FV,control_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-FY2100,24,FY,relay,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS2163,24,HS,hand_switch,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS2163A,24,HS,hand_switch,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS2163B,24,HS,hand_switch,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS24,24,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-LIC2162,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LIC2162A,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LIC2162B,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LSH2005,24,LSH,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LSL01,24,LSL,other,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-LSL02,24,LSL,other,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-LSL24,24,LSL,other,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-LV2162A,24,LV,control_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LV2162B,24,LV,control_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LY2162A,24,LY,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LY2162B,24,LY,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PA001,24,PA,other,BOTH,1,2,C025-V-HA24-P-_E-001-01.PDF,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO24-J-_E-001-01.PDF
24-PDI2001,24,PDI,indicator,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PDI24,24,PDI,indicator,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-PE001,24,PE,other,SCD_ONLY,0,2,,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO24-J-_E-001-01.PDF
24-PI2001,24,PI,indicator,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PI2159,24,PI,indicator,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PI2160,24,PI,indicator,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PT2001,24,PT,transmitter,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
